,crowned_k,bootstrap_ari_at_k,differentiation_at_k,silhouette_at_k,min_size_frac_at_k,n_survivors
C_subscales4_cgpa,5.0,0.7432,0.669,0.1657,0.1667,4.0
C5_subscales5_cgpa,3.0,0.8114,0.5992,0.139,0.2478,3.0
