k,min_size_frac,bootstrap_ari,differentiation,mean_rank,survives,discarded_because
2,0.43333333333333335,0.8659292411459515,0.40669128277065036,,False,"rule 3: differentiation 40.7% < 50% (severity split, not personas)"
3,0.24782608695652175,0.8114466082569028,0.5992014988188231,1.8571428571428572,True,-
4,0.1753623188405797,0.5843031772487918,0.681221138438113,2.0,True,-
5,0.1391304347826087,0.48328763564985694,0.6527506848554033,,False,rule 2: bootstrap ARI 0.483 < 0.50
6,0.1246376811594203,0.5604666409572677,0.6679660246561422,2.142857142857143,True,-
7,0.11594202898550725,0.640679375889575,0.6901986550739172,,False,rule 4: k > 6 actionability cap
8,0.10144927536231885,0.6508387283444088,0.7055108959044298,,False,rule 4: k > 6 actionability cap
