,aligned_mean,aligned_sd,variance,weight_vs_smallest
CGPACompare,3.24,1.459,2.13,2.24
Financial,3.31,1.406,1.977,2.08
Feedback,2.839,1.221,1.49,1.57
MissMeal,4.154,1.207,1.457,1.53
SocioPol,3.757,1.196,1.43,1.5
ExamWorry,3.99,1.181,1.395,1.47
PileUp,3.783,1.18,1.393,1.46
ResultDemotiv,3.867,1.178,1.387,1.46
AskTeacher,3.552,1.161,1.347,1.41
LabStress,4.118,1.151,1.325,1.39
JobWorry,4.349,0.982,0.964,1.01
SleepLoss,4.284,0.976,0.952,1.0
