space,algorithm,k,silhouette,davies_bouldin,calinski_harabasz,n_clusters_found,min_size,max_size,min_size_frac,max_size_frac,differentiation,ss_shape,ss_level,between_ss,bic,entropy,inertia,degenerate
B_subscales4,spectral,7,0.1742,1.2618,136.4392,7,55,145,0.0797,0.2101,0.5764,853.9897,627.5858,1481.5755,,,,False
B_subscales4,spectral,8,0.1617,1.3091,127.6538,8,42,124,0.0609,0.1797,0.5769,889.2019,652.1082,1541.3102,,,,False
B5_subscales5,kmeans,2,0.1997,1.8701,175.3576,2,296,394,0.429,0.571,0.0687,47.9124,649.5087,697.4211,,,2736.2697,False
B5_subscales5,kmeans,3,0.1494,1.8809,140.6887,3,180,289,0.2609,0.4188,0.3629,362.0325,635.6809,997.7134,,,2435.9774,False
B5_subscales5,kmeans,4,0.1563,1.7434,129.8523,4,128,198,0.1855,0.287,0.4862,604.7151,638.9364,1243.6515,,,2190.0393,False
B5_subscales5,kmeans,5,0.1556,1.5965,122.1249,5,91,175,0.1319,0.2536,0.5487,784.3138,645.049,1429.3629,,,2004.3279,False
B5_subscales5,kmeans,6,0.1586,1.5779,117.0148,6,83,154,0.1203,0.2232,0.5702,902.58,680.4347,1583.0147,,,1850.6761,False
B5_subscales5,kmeans,7,0.1575,1.4741,112.213,7,67,133,0.0971,0.1928,0.5832,994.0576,710.4815,1704.5391,,,1729.1516,False
B5_subscales5,kmeans,8,0.1703,1.4008,111.2065,8,46,119,0.0667,0.1725,0.5878,1075.8897,754.3337,1830.2234,,,1603.4674,False
B5_subscales5,gmm_full,2,0.152,2.0301,133.7788,2,266,424,0.3855,0.6145,0.4307,240.7548,318.2217,558.9765,9689.7652,0.7501,,False
B5_subscales5,gmm_full,3,0.0706,2.0164,93.9463,3,142,357,0.2058,0.5174,0.3994,294.4957,442.9266,737.4223,8097.8792,0.8238,,False
B5_subscales5,gmm_full,4,0.0698,3.4481,84.61,4,116,240,0.1681,0.3478,0.4937,457.8339,469.5403,927.3742,6906.1987,0.8729,,False
B5_subscales5,gmm_full,5,0.041,2.2782,70.3662,5,70,202,0.1014,0.2928,0.4972,497.227,502.7717,999.9987,8178.5901,0.8312,,False
B5_subscales5,gmm_full,6,0.0264,3.3186,55.186,6,29,191,0.042,0.2768,0.5138,507.1016,479.9064,987.008,5802.9022,0.9463,,False
B5_subscales5,gmm_full,7,0.0251,3.187,47.807,7,19,191,0.0275,0.2768,0.5724,581.2729,434.2803,1015.5532,5874.0493,0.9396,,False
B5_subscales5,gmm_full,8,0.0351,2.8094,50.3252,8,15,191,0.0217,0.2768,0.5765,674.1962,495.3251,1169.5214,5989.7194,0.9419,,False
B5_subscales5,gmm_diag,2,0.1886,1.9884,156.9788,2,294,396,0.4261,0.5739,0.1457,92.961,544.9447,637.9057,9651.2824,0.5247,,False
B5_subscales5,gmm_diag,3,0.1223,2.1783,115.8931,3,181,318,0.2623,0.4609,0.3732,323.2444,542.9879,866.2323,7928.753,0.7793,,False
B5_subscales5,gmm_diag,4,0.0757,3.4035,88.0876,4,113,243,0.1638,0.3522,0.442,422.0878,532.8023,954.8901,6688.6032,0.8728,,False
B5_subscales5,gmm_diag,5,0.0601,3.1304,77.1104,5,100,191,0.1449,0.2768,0.4769,508.4333,557.6513,1066.0846,6713.9295,0.8425,,False
B5_subscales5,gmm_diag,6,0.0292,3.3853,57.5207,6,57,191,0.0826,0.2768,0.5197,528.2153,488.1881,1016.4034,5508.4943,0.9145,,False
B5_subscales5,gmm_diag,7,0.0318,4.3832,44.5988,7,32,174,0.0464,0.2522,0.5477,529.4257,437.162,966.5877,4083.7905,0.9378,,False
B5_subscales5,gmm_diag,8,0.01,3.3512,38.7655,8,5,191,0.0072,0.2768,0.5221,510.2384,467.1071,977.3455,3588.7599,0.9885,,False
B5_subscales5,ward,2,0.1559,2.1576,130.7883,2,312,378,0.4522,0.5478,0.2493,136.7535,411.7236,548.4771,,,,False
B5_subscales5,ward,3,0.1136,2.0379,104.1883,3,162,312,0.2348,0.4522,0.4359,348.2932,450.8129,799.1061,,,,False
B5_subscales5,ward,4,0.1128,1.9899,98.5747,4,103,216,0.1493,0.313,0.449,464.4148,569.9133,1034.3281,,,,False
B5_subscales5,ward,5,0.1182,1.8955,94.4848,5,79,216,0.1145,0.313,0.5124,625.6265,595.2582,1220.8847,,,,False
B5_subscales5,ward,6,0.1238,1.7347,92.459,6,60,216,0.087,0.313,0.5688,787.7008,597.0896,1384.7904,,,,False
B5_subscales5,ward,7,0.1185,1.7141,90.1219,7,60,131,0.087,0.1899,0.5849,887.3915,629.8571,1517.2486,,,,False
B5_subscales5,ward,8,0.1135,1.6299,86.0448,8,60,131,0.087,0.1899,0.6014,968.4546,641.8676,1610.3222,,,,False
