space,algorithm,k,silhouette,davies_bouldin,calinski_harabasz,n_clusters_found,min_size,max_size,min_size_frac,max_size_frac,differentiation,ss_shape,ss_level,between_ss,bic,entropy,inertia,degenerate
C5_subscales5_cgpa,average,2,0.4485,0.9703,17.5726,2,4,686,0.0058,0.9942,0.2322,23.8256,78.7856,102.6112,,,,True
C5_subscales5_cgpa,average,3,0.3997,0.7567,10.195,3,1,686,0.0014,0.9942,0.3273,38.8667,79.8897,118.7564,,,,True
C5_subscales5_cgpa,average,4,0.2974,0.7367,8.9887,4,1,684,0.0014,0.9913,0.4731,73.718,82.1112,155.8292,,,,True
C5_subscales5_cgpa,average,5,0.2088,0.7036,7.4605,5,1,683,0.0014,0.9899,0.5057,86.9828,85.0133,171.9961,,,,True
C5_subscales5_cgpa,average,6,0.1428,0.6819,6.5398,6,1,682,0.0014,0.9884,0.545,102.4555,85.5194,187.9748,,,,True
C5_subscales5_cgpa,average,7,0.0742,0.8881,8.5877,7,1,669,0.0014,0.9696,0.682,197.0963,91.92,289.0162,,,,True
C5_subscales5_cgpa,average,8,0.07,0.7955,7.5948,8,1,669,0.0014,0.9696,0.6912,205.947,91.9931,297.9401,,,,True
C5_subscales5_cgpa,spectral,2,0.1551,2.14,134.502,2,329,361,0.4768,0.5232,0.5657,381.1108,292.6286,673.7394,,,,False
C5_subscales5_cgpa,spectral,3,0.1181,1.992,109.9478,3,213,250,0.3087,0.3623,0.5493,548.7467,450.2392,998.9859,,,,False
C5_subscales5_cgpa,spectral,4,0.1143,1.8995,93.985,4,113,237,0.1638,0.3435,0.6198,743.795,456.3259,1200.1209,,,,False
C5_subscales5_cgpa,spectral,5,0.1153,1.7646,88.8202,5,92,201,0.1333,0.2913,0.6792,955.7565,451.3317,1407.0882,,,,False
C5_subscales5_cgpa,spectral,6,0.1212,1.7363,86.342,6,86,145,0.1246,0.2101,0.6758,1077.4259,516.7672,1594.1931,,,,False
C5_subscales5_cgpa,spectral,7,0.1203,1.6432,79.6037,7,73,174,0.1058,0.2522,0.7305,1238.5523,456.9327,1695.485,,,,False
C5_subscales5_cgpa,spectral,8,0.1167,1.6034,78.6918,8,52,136,0.0754,0.1971,0.724,1332.7934,508.0644,1840.8578,,,,False
