,n,pct,Evaluation,Workload,FutureMacro,SupportGap,Financial,CGPA_ord
C0,361,36.6,0.26096131330535716,0.45804240474327973,0.1736983478664656,0.46747284195252564,0.6683928912624355,-0.6973132802251505
C1,376,38.1,0.17837400764482325,0.11607452220156682,0.45779125542552723,-0.38104420621072665,-0.12409803249604934,0.6826026642280106
C2,250,25.3,-0.6451026439107498,-0.8359893138404529,-0.9393384624791705,-0.1019402976385119,-0.7785158941088959,-0.019714030353812247
