@RELATION kuet_validate_living

@ATTRIBUTE Evaluation NUMERIC
@ATTRIBUTE Workload NUMERIC
@ATTRIBUTE FutureMacro NUMERIC
@ATTRIBUTE SupportGap NUMERIC
@ATTRIBUTE Financial NUMERIC
@ATTRIBUTE CGPA_ord NUMERIC
@ATTRIBUTE living {'Hall','Mess','Family','Other'}

@DATA
3.667,4.25,4,3,5,5,'Mess'
3.667,2.75,4,4.5,4,4,'Family'
3,4.25,4,2,2,4,'Mess'
4.667,3,5,4,5,3,'Mess'
4.667,2,4.5,2,3,5,'Mess'
4.333,1.5,4,1,2,4,'Other'
3,3.25,4,2.5,1,5,'Hall'
2.333,3.5,4.5,3,2,5,'Family'
4,2,2,5,5,5,'Hall'
4.667,2.75,5,3,5,4,'Family'
3,4,5,3,5,3,'Mess'
3,5,3.5,4,2,4,'Mess'
3.667,3.75,3.5,4.5,5,1,'Mess'
3.333,4.75,3.5,2.5,2,2,'Mess'
