@RELATION kuet_validate_department

@ATTRIBUTE Evaluation NUMERIC
@ATTRIBUTE Workload NUMERIC
@ATTRIBUTE FutureMacro NUMERIC
@ATTRIBUTE SupportGap NUMERIC
@ATTRIBUTE Financial NUMERIC
@ATTRIBUTE CGPA_ord NUMERIC
@ATTRIBUTE department {'ARCH','BECM','BME','CE','CHE','CSE','ECE','EEE','IEM','LE','ME','MSE','MTE','TE'}

@DATA
3.333,4.75,3.5,2.5,2,2,'MSE'
4.333,3.75,4,3.5,3,4,'EEE'
3.667,4,4.5,3.5,5,4,'EEE'
3.333,2.25,3,2,2,3,'MSE'
3.333,3.75,2,1,5,4,'IEM'
3.333,4.25,2.5,3,1,2,'IEM'
2.333,2.25,5,2,5,3,'IEM'
4,4.25,5,3,4,4,'ECE'
4.667,4.5,5,3,3,3,'IEM'
3.333,4.75,5,3.5,4,4,'EEE'
4.333,4.25,4,3,2,3,'ECE'
4.333,4.25,5,4,1,1,'EEE'
3.333,3,4.5,3,3,3,'CE'
5,4,5,3,4,2,'IEM'
3.333,3.75,3.5,5,4,5,'ECE'
3.667,4.25,4.5,1.5,5,3,'IEM'
4.333,4.25,5,3.5,4,5,'EEE'
4.333,4.25,3,4.5,5,2,'IEM'
3,4.25,4,2,3,5,'ECE'
3.667,5,5,1,5,3,'EEE'
4.333,3.5,3,3,2,5,'EEE'
3.667,3.75,3,3.5,3,4,'EEE'
2.333,2.5,3,3.5,2,4,'TE'
3.333,4.75,3,5,1,5,'EEE'
5,3.5,4.5,3,5,3,'EEE'
4.333,2.5,3,2,1,4,'CE'
5,5,5,4,5,3,'CHE'
4.333,3,5,2.5,2,3,'TE'
3.667,5,5,1,5,3,'EEE'
4.667,4.5,4,3,2,5,'ECE'
3.333,3.25,3.5,1,1,5,'EEE'
3.667,4.5,4,3,1,4,'EEE'
3.333,3.25,4,2.5,3,4,'EEE'
3.667,3.75,3.5,3.5,3,5,'MSE'
4,4,2.5,2,5,2,'CHE'
5,4,5,3,5,1,'EEE'
4,4.5,4.5,2.5,3,5,'ECE'
3.667,2.75,4,3,1,5,'EEE'
4.667,4.75,5,3,3,2,'ME'
4.333,4.25,3.5,3.5,1,3,'CE'
5,4,5,1,5,4,'EEE'
3.667,3.75,2,3.5,3,3,'MTE'
3,4.5,3.5,2,3,4,'EEE'
4,3.5,3.5,3,2,4,'ECE'
3.667,4,4,1.5,5,1,'CHE'
3.667,3.75,3.5,3,1,2,'EEE'
3.667,2.75,5,3,4,5,'EEE'
5,4,4,3,3,1,'EEE'
4.667,4.25,4,2,2,4,'EEE'
5,3.25,1,5,1,4,'MTE'
2.333,4,5,4,5,5,'ME'
2.667,2.5,2,3,2,4,'CHE'
4.333,2,5,1,3,5,'ME'
2.667,3.25,5,1,5,3,'CE'
5,5,3.5,4.5,5,3,'EEE'
1.667,3.25,2.5,2.5,1,4,'CHE'
4.333,4,5,1,2,5,'EEE'
5,4.5,5,4,5,1,'EEE'
3.667,4,4,2,3,4,'ECE'
5,4,5,3,5,3,'EEE'
1.667,4.25,4.5,5,2,4,'TE'
4,4.75,5,3,4,1,'EEE'
3,3.5,4.5,2,3,5,'EEE'
5,5,5,4,5,1,'CE'
4,4.25,5,4,2,3,'EEE'
4.333,4.25,4,2.5,2,4,'EEE'
4.333,5,5,2,3,3,'ME'
1.667,2.5,1,1,1,4,'MTE'
4.333,5,3,3,5,3,'ECE'
3.333,4.25,4,3.5,3,5,'EEE'
3.667,3.75,3.5,4,3,3,'EEE'
4.333,3,3,2.5,1,4,'ME'
2.667,4,4.5,5,4,4,'EEE'
2.333,4.5,4,3,2,5,'MTE'
3.667,3.75,3.5,3,3,5,'EEE'
2.667,2.75,2.5,3,1,5,'EEE'
2.333,4.75,5,2,2,4,'CE'
2.667,3.25,4,2.5,2,1,'ME'
3,4,4,4,5,3,'MSE'
4.667,2.75,5,2.5,1,4,'BECM'
5,4.25,2.5,2,1,2,'CHE'
5,4.25,5,1,5,5,'ECE'
4,3,4.5,3,1,5,'EEE'
3.333,4,2.5,3.5,2,5,'EEE'
4,4.5,5,3.5,5,4,'MTE'
4,4.5,4.5,3.5,4,3,'MTE'
2.667,4,3.5,4,5,4,'MTE'
3.667,5,2,3.5,4,1,'EEE'
3.667,3.25,4,2,3,4,'MTE'
4.667,3.5,3,2.5,2,2,'IEM'
4,3.5,3.5,3.5,4,4,'EEE'
2.333,4,4,2.5,4,3,'ME'
3.667,3.25,3.5,3,5,3,'ECE'
3.667,3.5,4,2,4,3,'ME'
3,3.75,3.5,3,5,4,'TE'
5,4,2.5,3,3,3,'EEE'
4.333,5,3,3.5,3,1,'EEE'
2.667,4.25,4.5,2.5,1,4,'ARCH'
4,4.25,1,3,2,4,'EEE'
2.333,3.5,4,2.5,1,1,'CE'
3,4.25,4,3.5,3,3,'MTE'
4.333,3.5,5,3.5,1,5,'EEE'
1,3.75,3,3.5,5,5,'MTE'
3.667,5,4,3,4,3,'EEE'
4.333,2,5,1,4,4,'ME'
2.333,3.5,4.5,1.5,3,5,'MTE'
3.333,2.5,3.5,4,3,5,'ME'
2.333,4.25,3,4.5,1,4,'ARCH'
3.667,3.25,3.5,3,3,5,'ME'
3,4,4.5,2,2,5,'EEE'
5,3.5,5,3.5,5,3,'CHE'
2,2.5,1.5,4,1,3,'CSE'
3.333,5,2.5,3.5,5,3,'ECE'
4,3.5,5,3.5,3,5,'ME'
3.333,3.75,3.5,4,3,3,'EEE'
3.667,4.5,4.5,2.5,3,5,'ME'
5,5,3,5,5,1,'CHE'
3.667,3,3,5,5,4,'ME'
4.333,5,4.5,3,1,4,'ARCH'
3.667,4.5,4.5,3,2,5,'EEE'
4.667,4.75,3,2.5,5,4,'MTE'
2.667,3.25,4,3.5,3,4,'ME'
4.667,2.25,5,1.5,3,5,'ME'
4.333,4.25,4.5,4,3,5,'EEE'
4.333,3,5,2.5,3,4,'ECE'
3.667,5,3.5,3,5,5,'ME'
4.333,4.25,3,4,4,4,'IEM'
5,5,5,4,2,2,'EEE'
3,4.75,4.5,3,4,3,'ME'
3.667,5,3.5,2,3,4,'ME'
3.333,4.5,4.5,3,2,3,'CE'
3.333,4.25,3.5,2.5,5,5,'ME'
1.333,3.5,2,1,3,1,'ME'
1.667,4.25,4.5,4.5,5,3,'ECE'
4.333,3.75,3.5,3,3,5,'EEE'
4,4.25,4.5,3,4,3,'EEE'
5,4.75,3.5,5,5,4,'BECM'
4,3.25,4,3.5,4,3,'ECE'
4,4,4,2.5,5,4,'EEE'
3.667,2,3.5,3,1,2,'CE'
5,4.5,4.5,2,4,5,'IEM'
4.333,3.75,5,2.5,5,5,'IEM'
2.667,4.75,5,2,1,4,'IEM'
3.333,4,3.5,3,4,5,'IEM'
5,3.25,4,1,3,4,'IEM'
3.667,3,4.5,3.5,5,5,'EEE'
4,4.75,3.5,3,2,5,'EEE'
3.333,4,5,4,2,4,'ECE'
4.333,3.5,4,4.5,3,4,'IEM'
4.667,4.5,4,2,5,3,'IEM'
3.667,4,5,3.5,1,4,'CE'
4.667,4.25,4,3,1,4,'IEM'
4,3.75,4.5,2.5,5,5,'IEM'
3.333,2.75,3,4.5,3,3,'ECE'
4.667,4,4.5,2.5,3,4,'LE'
4.667,4.25,4.5,3,4,3,'IEM'
3.333,4.25,4,3,4,4,'ECE'
3.667,4,5,3.5,3,3,'BECM'
4.667,4.75,5,3,5,5,'LE'
2,4.5,1,3,5,3,'MSE'
4,4.25,4.5,1.5,4,4,'BECM'
4,4.5,5,5,5,4,'EEE'
3.333,4.5,5,4.5,4,3,'ECE'
3,4.25,5,3,5,5,'BECM'
5,4,5,3,5,4,'CE'
4.667,5,4.5,1,4,3,'LE'
5,4.25,3.5,3.5,5,1,'LE'
4.667,4.5,4.5,2,1,4,'EEE'
4.333,3.5,5,4,2,5,'CE'
1.667,4,2.5,3.5,1,5,'ME'
5,4,4,5,1,5,'LE'
3.667,5,3,3.5,4,1,'EEE'
2,3.5,4,3.5,5,3,'LE'
5,4.5,4.5,4.5,1,3,'ECE'
5,3,5,5,1,5,'CE'
4.667,3.75,3.5,3.5,3,5,'IEM'
3,3.5,3.5,2,3,5,'EEE'
3,4.5,4,5,4,5,'BECM'
3.667,3.75,4,3,3,4,'LE'
3,4.75,5,1,5,5,'IEM'
5,3.25,4,1.5,3,3,'ME'
1.667,3.75,3.5,3.5,4,4,'ME'
4,4.5,4,2.5,4,5,'ME'
5,3.75,5,3.5,3,5,'ME'
3,2.5,2,2.5,1,3,'LE'
2.667,4.25,4.5,4,5,2,'IEM'
2.333,3.25,3.5,3.5,1,1,'ME'
3.333,4.25,4,4,4,5,'IEM'
4.333,3.75,4,2,3,4,'LE'
1.333,4.5,4.5,3,5,3,'ECE'
3.667,5,3,1.5,4,5,'LE'
4.667,3,4,2.5,5,4,'LE'
3.333,4.75,4.5,5,3,3,'BECM'
3.333,5,4,4.5,2,4,'BME'
3.667,4.5,3.5,3.5,1,3,'ME'
4,3.5,3,4,2,3,'ECE'
4.667,4.5,1,2.5,1,4,'MTE'
4.333,3.75,4,1.5,5,2,'CE'
4,5,5,2.5,2,3,'ME'
5,4.25,4.5,3.5,5,5,'ECE'
4.333,4.75,5,2.5,3,1,'BECM'
5,4,4,5,5,4,'EEE'
5,4.75,4.5,4,4,3,'ME'
4.667,4.75,5,4,3,4,'BME'
3.333,3.75,4,3,5,3,'ME'
3.667,4.75,5,3,4,4,'EEE'
4.333,4.5,5,2.5,5,4,'LE'
4,4.25,3.5,2.5,2,4,'LE'
4.667,4.5,4,2.5,4,5,'EEE'
4.333,4.75,4,3,5,5,'ECE'
5,5,5,4,4,4,'EEE'
5,5,5,4.5,5,1,'ME'
5,4,3.5,3.5,3,4,'EEE'
4.667,3.25,5,2,4,5,'EEE'
4.333,4,5,2,2,5,'ME'
5,4.5,5,4.5,5,4,'EEE'
3.333,3.75,4,2.5,4,3,'LE'
3.667,3.75,3,4,1,4,'TE'
1.667,3,4.5,4.5,5,3,'TE'
3.667,4.5,1,2.5,5,5,'EEE'
4.667,4,4.5,2,5,4,'LE'
5,4.75,5,3,3,5,'ME'
4,4.75,5,3,4,3,'ME'
4,4.25,4.5,4,2,2,'MTE'
3,4.75,3.5,4,3,5,'EEE'
5,4.25,4.5,3,4,3,'LE'
3.667,4.5,5,4.5,5,3,'EEE'
4.333,3.75,4.5,1.5,5,3,'MTE'
3,1.75,4.5,3,5,2,'MTE'
4.667,3,4.5,3,5,4,'ME'
4,4.25,4.5,4,1,3,'MTE'
3.333,3.25,5,3,5,3,'MTE'
4.667,5,2,4.5,1,3,'EEE'
1.333,2.25,3.5,1.5,3,3,'BECM'
2.667,2.5,3.5,3.5,2,2,'BECM'
3.333,4,4.5,2,4,3,'MTE'
4.667,4.25,4.5,5,4,3,'EEE'
3.333,4.5,3,3,4,4,'ARCH'
4.667,4.25,5,3,5,3,'BECM'
4.333,5,4.5,4,5,2,'BECM'
4.667,4.75,4,5,5,3,'ECE'
3.333,4.5,2.5,3,2,4,'CE'
1.667,3,2,1,1,5,'CE'
3,4.5,4.5,2.5,2,3,'BECM'
3,3.5,5,3,5,2,'MTE'
2.667,4,4.5,2.5,1,4,'EEE'
3.667,2.75,4.5,3,2,3,'ME'
3.333,4,3,2.5,5,2,'ARCH'
4.667,5,4.5,4,3,3,'CE'
4.667,5,4.5,3,3,5,'ECE'
5,4.5,4.5,4.5,1,3,'BECM'
3.667,5,4,2.5,4,5,'ECE'
3.667,4,4,3,4,4,'EEE'
5,5,4.5,5,5,3,'EEE'
4.333,4,4.5,3,3,5,'BECM'
3.667,4.75,4,3,1,4,'ARCH'
4.333,3.25,2,4,5,4,'EEE'
4.333,5,5,5,5,3,'EEE'
3,2.25,3.5,4,2,3,'ME'
2.667,4.25,5,2,2,3,'BECM'
4.667,5,4.5,3.5,5,5,'ARCH'
5,4.25,5,3,5,4,'BECM'
2.667,4.5,4.5,2,1,3,'ECE'
5,4,3.5,3,3,3,'ECE'
4,4.25,4.5,4.5,5,3,'BECM'
5,4.75,4.5,3,2,4,'ME'
3.667,4.25,4,3,4,4,'ME'
4,4.75,5,3,5,4,'EEE'
4.667,5,4,3,5,2,'CE'
1.333,2.25,4,1.5,4,2,'EEE'
4,4.5,5,3.5,4,5,'ME'
4.667,2.75,3.5,3.5,3,3,'EEE'
3,3.5,4,1.5,5,3,'ECE'
4.667,4.75,4,2.5,5,2,'EEE'
4.667,3.25,5,2,2,5,'EEE'
4.333,5,4.5,3,4,4,'ARCH'
4.333,4.75,4.5,3,5,4,'CE'
3.667,4,5,4,5,3,'ME'
3,4,4,1,4,3,'ECE'
5,3.75,3,4.5,1,2,'EEE'
3.667,4.5,4,4.5,2,5,'MSE'
4.333,3.5,3.5,3,4,1,'MSE'
4.667,3.5,4.5,3.5,4,1,'MSE'
4.333,3.25,4,3,1,3,'MSE'
5,4.75,5,2.5,5,5,'ECE'
4.333,4.25,4.5,2,4,2,'MSE'
3.667,3.75,4.5,3.5,5,5,'MSE'
3.667,4.75,3,3,3,5,'CE'
4.667,3.25,3.5,4,3,3,'MTE'
4,2.5,2.5,3,2,5,'MSE'
3.333,4,3.5,2.5,3,5,'MSE'
4,5,3,5,5,4,'EEE'
2.667,3.75,3.5,3,3,5,'MSE'
5,4.25,5,3,5,1,'MSE'
3,4,4,3,4,2,'MSE'
5,5,5,4,3,5,'ECE'
4,3.75,4.5,4,4,5,'EEE'
4,4.25,4.5,3,3,4,'ECE'
3.667,4.25,4.5,3,3,5,'EEE'
3.667,4.25,4,2,3,5,'MSE'
1,3,1,3.5,2,4,'MSE'
4.667,4.75,4.5,3.5,5,4,'EEE'
4.333,4,2.5,4.5,3,2,'EEE'
2.667,3.75,4.5,3.5,1,4,'ME'
3.333,3,5,1,4,5,'CE'
4.333,4.75,3,5,5,3,'ARCH'
4.333,4.25,3.5,3.5,4,4,'CSE'
4.667,4.5,4,3,2,3,'ARCH'
3.333,3.75,3.5,2,3,3,'BECM'
2.667,4.25,2.5,3.5,3,3,'EEE'
3,4.25,4,3,3,4,'ME'
4.667,3.75,4.5,3,1,4,'ME'
4.667,3.25,3,2.5,5,2,'CE'
3,4.5,3,3.5,4,5,'CE'
4.667,3.75,5,2,1,3,'ME'
3.667,3.75,4.5,3,4,4,'ARCH'
1.667,4.25,3,2,4,4,'ECE'
3.667,3.75,4,2,3,5,'LE'
4.333,4.25,5,4.5,1,3,'ARCH'
5,5,4,3.5,4,3,'ME'
2.333,4.75,5,5,5,4,'ME'
2.333,5,4.5,3,3,4,'BECM'
4,3.25,4,2,3,3,'CE'
3,3.25,4,3,5,3,'CE'
2.667,3.5,5,1.5,2,4,'BECM'
3.667,4,5,3,1,3,'CE'
2.667,2.25,5,1,2,5,'ME'
3.333,2.75,3.5,2.5,4,3,'BECM'
3.667,4.5,3.5,5,5,4,'CE'
2.667,5,3.5,4,3,4,'EEE'
5,5,4.5,4.5,5,4,'ARCH'
4.667,4.75,3,3.5,3,5,'CE'
3.667,4.75,3.5,4,5,4,'CE'
3.333,5,5,3,4,3,'CE'
2.667,4.75,3.5,4.5,4,3,'BECM'
2.333,3.75,3.5,2,2,5,'EEE'
4,4.75,4.5,2,1,4,'ARCH'
4.667,4.25,4.5,3.5,4,4,'ME'
3,3.5,3.5,4,4,3,'ECE'
2.667,3,1.5,4,4,5,'EEE'
4.333,4.75,3.5,2.5,2,2,'EEE'
2.333,5,3.5,3,4,4,'ARCH'
3.667,4.5,4,3,3,5,'EEE'
3.333,4.75,3,4,4,4,'EEE'
4.667,5,5,2,5,3,'CE'
3.333,3.75,5,3,4,2,'ARCH'
3.667,3.75,4.5,2,5,3,'BECM'
3,4.25,4,3,3,3,'CE'
3,4,4.5,5,5,3,'ME'
4,4,4,2,4,5,'MSE'
3.667,4.75,3.5,4.5,3,1,'ARCH'
4.333,5,3.5,4.5,4,3,'CE'
4.333,5,5,3.5,4,1,'EEE'
4,4.25,4.5,4.5,3,4,'ARCH'
4.667,3.25,4,1.5,4,4,'EEE'
2.333,3,5,2.5,4,4,'EEE'
4,4.75,2.5,3.5,5,4,'ME'
3.667,4.75,2.5,5,4,3,'BECM'
3,3,4.5,4,1,3,'LE'
4.667,5,5,4,5,4,'ARCH'
3.667,4,4,5,5,2,'BECM'
3,4.75,5,2,5,5,'CE'
5,4.75,3.5,4,5,3,'CE'
2,4.75,3.5,1,2,4,'CE'
2.333,3.75,4,1,1,5,'EEE'
4,4,3,1.5,1,4,'LE'
3.667,4.25,4,2.5,4,3,'ME'
4.333,3.5,3.5,2.5,1,4,'ME'
5,5,4.5,4,4,4,'ECE'
4.333,5,4.5,5,5,4,'BECM'
4,5,3.5,5,3,4,'EEE'
2.667,3.25,4.5,2,5,4,'ECE'
3.333,5,4.5,3.5,5,3,'ME'
3.667,5,3,4,4,4,'ARCH'
5,4.25,5,2.5,2,5,'ECE'
1.667,4,4.5,3.5,5,3,'ME'
5,3,4.5,3.5,3,5,'EEE'
3.333,4.25,4.5,2.5,4,3,'CE'
2,4,4.5,5,5,3,'ECE'
5,5,4,3,3,4,'ME'
3.333,3.25,3,2,1,5,'MSE'
3.333,3.5,4,2,4,5,'ME'
4,4.75,4,3.5,3,4,'EEE'
5,4.25,5,3,5,2,'BME'
4,2.75,5,3,5,4,'MSE'
4.333,4.25,5,2.5,4,3,'MSE'
3.333,3.5,5,3.5,3,3,'CSE'
4.333,3.75,4.5,3,4,4,'EEE'
4,5,5,3,5,5,'MSE'
1,3.25,3,3,3,2,'CHE'
2.667,3.5,4.5,2,5,4,'ECE'
3.333,3.5,3.5,3,3,4,'EEE'
2.667,4,4,2,2,3,'EEE'
3,4.25,5,2,3,4,'CSE'
1,3.5,5,1.5,5,3,'CSE'
1.667,2.75,5,3,5,3,'TE'
