@RELATION kuet_validate_department

@ATTRIBUTE Evaluation NUMERIC
@ATTRIBUTE Workload NUMERIC
@ATTRIBUTE FutureMacro NUMERIC
@ATTRIBUTE SupportGap NUMERIC
@ATTRIBUTE Financial NUMERIC
@ATTRIBUTE CGPA_ord NUMERIC
@ATTRIBUTE department {'ARCH','BECM','BME','CE','CHE','CSE','ECE','EEE','IEM','LE','ME','MSE','MTE','TE'}

@DATA
4.667,4.5,3.5,2.5,2,3,'ARCH'
3.333,5,4,2,1,5,'ECE'
5,4.5,5,4.5,2,2,'CSE'
2,2.25,4.5,2.5,4,4,'CSE'
2.667,3,4.5,4.5,3,4,'ME'
5,5,4,4.5,5,3,'CE'
4.667,3.75,2.5,4.5,4,5,'BECM'
4,5,5,3,4,3,'CE'
3.667,4.75,3.5,3,5,2,'EEE'
4,4.75,4,3.5,5,2,'ME'
1,4.25,5,3,2,3,'CSE'
5,2.75,4,2.5,5,3,'CSE'
3.333,4.5,3.5,4,2,3,'CSE'
4.667,4.75,3,3.5,1,3,'CSE'
3,4.25,5,4,5,4,'CSE'
3.333,3.75,5,4,1,5,'CSE'
3.333,3.75,3,3,2,3,'CSE'
5,3.25,5,3.5,3,3,'CSE'
4.667,4.5,5,4,2,5,'EEE'
4.333,4.75,5,3.5,5,4,'CE'
5,4.75,3.5,5,5,2,'CE'
3.333,3.5,3,1.5,1,4,'BECM'
3.333,3,5,2.5,2,3,'ARCH'
4.333,4,4.5,2.5,3,3,'ME'
4,2.25,4.5,2.5,3,5,'ECE'
3,4.75,3,4.5,4,2,'TE'
1.667,4.5,4.5,3.5,4,3,'ARCH'
4,4.25,5,3,3,4,'EEE'
3,2.75,3.5,2.5,2,3,'ME'
4.667,5,4,5,5,3,'EEE'
4,3.75,5,5,5,3,'ME'
3.667,5,4,5,5,3,'ME'
3.667,4.5,5,5,5,3,'ME'
3,3.5,3.5,3.5,2,3,'ME'
2.667,4.25,4,2,5,4,'TE'
3,5,3.5,3.5,3,2,'ARCH'
4,3.5,5,4.5,4,3,'CSE'
2,3.5,3.5,2.5,3,4,'ARCH'
3.667,5,5,4.5,5,4,'EEE'
3.667,3.75,5,3.5,3,4,'CSE'
4,5,5,2.5,4,1,'ECE'
3,4.5,4,4,3,4,'BECM'
5,3.25,4.5,1.5,2,5,'ARCH'
4,4.5,4,2,4,3,'CE'
3.333,4,3,4,2,3,'CSE'
3.333,5,5,3,4,3,'ECE'
3.667,5,3.5,3,5,3,'EEE'
4.667,4.25,3.5,4,5,3,'EEE'
5,4.25,4,5,3,4,'ECE'
2.667,4,3.5,2,1,4,'EEE'
2,5,4.5,2.5,4,4,'ARCH'
4,4.5,5,4,5,3,'EEE'
4.333,4.75,5,5,5,3,'EEE'
3,4.25,5,2.5,2,5,'EEE'
3.667,4.5,4,2,4,4,'EEE'
4,4.25,4.5,3.5,2,4,'CSE'
4.667,3.5,4,1,3,4,'ECE'
2.333,3.75,4,2.5,4,3,'CE'
5,5,4.5,5,5,3,'ECE'
3,4.75,5,3.5,3,4,'EEE'
3.667,5,4.5,4,5,4,'ECE'
2.333,4.5,3.5,4.5,5,3,'EEE'
3.667,5,5,2,4,3,'ARCH'
4,4.5,5,4,1,3,'ARCH'
3.667,4.5,4.5,3.5,3,4,'ME'
5,4.75,5,1.5,5,3,'ECE'
3.333,4.75,4.5,4.5,3,2,'EEE'
4,3.75,3.5,3,2,4,'EEE'
3.667,4.75,5,4,5,4,'EEE'
2.333,4,4.5,4,2,4,'ECE'
4,5,4,3,3,4,'BECM'
3.333,4.5,3.5,3.5,4,3,'EEE'
4.667,4.75,5,5,4,4,'EEE'
3,4.75,3.5,5,4,4,'EEE'
1.667,4.5,5,4,5,4,'ME'
3.333,4.5,3,3.5,3,4,'BECM'
3.667,5,3,3,5,3,'ME'
5,4,5,3.5,5,4,'EEE'
4.333,4.75,4.5,3.5,2,3,'ME'
4.667,4.25,4.5,3.5,3,4,'CE'
4,5,4.5,4.5,4,3,'ME'
3.667,5,4.5,3,3,3,'ARCH'
3.333,4.75,1.5,2.5,1,4,'BECM'
2.667,3,3.5,4,3,3,'ME'
4.333,5,4.5,3.5,4,4,'CE'
4.667,4.25,3.5,4,5,5,'EEE'
3,4.5,4.5,2.5,1,5,'ME'
2.667,4.75,3.5,4.5,1,5,'ARCH'
2.333,4.75,3.5,3.5,5,5,'ECE'
4,5,4.5,3.5,5,2,'ME'
3.333,3,4.5,2,2,4,'ECE'
5,4.5,4.5,5,2,3,'ARCH'
4.333,4.75,4,4.5,1,3,'ME'
2.333,3,2,3.5,1,4,'ME'
4,5,4,4,3,3,'EEE'
3.333,4,3,4.5,3,4,'EEE'
2,3,3,3,2,2,'CE'
3.667,5,4.5,1,5,1,'ME'
2.333,4.5,3.5,4,3,4,'BECM'
2.667,4.5,4,3.5,1,3,'EEE'
4,5,5,4,5,3,'ME'
4,2.75,3,4,4,3,'ARCH'
3,4.75,4,3.5,4,4,'ARCH'
4.333,5,5,4.5,5,3,'ME'
4,2.5,3.5,3,1,5,'ARCH'
4.667,4,4,2.5,1,2,'ARCH'
5,4,5,2,1,3,'ECE'
3.333,3.25,4,4.5,2,4,'BECM'
1.333,4.25,3.5,3.5,4,3,'CE'
5,3.75,4.5,3,4,4,'BECM'
5,4.25,3.5,2.5,4,4,'EEE'
4.667,4,3.5,4,5,3,'BECM'
4.667,3.5,4.5,3,5,3,'ECE'
3.333,5,5,4.5,4,5,'EEE'
3,5,5,3.5,4,3,'ECE'
4.333,4,4.5,2,3,1,'ME'
1,3.25,4,3,5,4,'ME'
3.333,3.75,4,5,3,4,'EEE'
4,4.75,5,5,4,3,'ARCH'
3.333,4.5,4.5,1.5,2,4,'ECE'
3.333,4.75,4,4.5,3,3,'ECE'
4.333,4.75,4,4.5,5,4,'ECE'
4.333,4.25,4.5,3.5,3,1,'ME'
4.667,4.75,3.5,3,4,3,'EEE'
4.333,3.75,5,3.5,3,3,'CSE'
5,4.75,4,1,1,1,'ARCH'
2.333,3.75,4.5,4,5,3,'ECE'
4,4.25,4,4.5,2,4,'ECE'
3.667,5,4,4.5,3,4,'EEE'
2,3,4,3.5,5,3,'CE'
5,3,4,2.5,1,5,'EEE'
4.667,4.75,4.5,4,5,4,'CE'
1.333,3,4,2,1,4,'CE'
3,4,4.5,3.5,5,3,'CE'
4,4.5,4.5,4.5,4,3,'CE'
4,5,5,2.5,4,5,'BECM'
3.333,5,4.5,5,4,5,'EEE'
4.333,4.5,4.5,2.5,5,5,'ARCH'
2.333,4.5,4,4.5,4,4,'CE'
2.667,5,4,3.5,5,3,'BECM'
3.333,3.75,3,4.5,4,3,'ARCH'
3.667,4.5,5,3,5,1,'CE'
4,4.75,4,3,5,4,'ARCH'
4,4.5,3.5,3,4,2,'BECM'
4.333,5,4.5,1.5,5,2,'EEE'
4.333,3.25,3,2,4,4,'CE'
3.667,4.75,5,4,3,3,'BECM'
5,5,4.5,3,3,4,'ECE'
1.667,3.25,5,3,5,3,'ARCH'
2.667,4.75,2,5,1,3,'CE'
4.333,4,3.5,3.5,5,3,'ECE'
2,5,4.5,4,4,4,'CE'
3.667,5,4,4,2,3,'CE'
4.333,4.25,3.5,3.5,2,4,'ARCH'
4,4.75,2.5,2,3,5,'CE'
4,4.25,2,3.5,2,1,'ME'
3.333,4.75,4,3.5,4,4,'CE'
2.667,2.5,3,3.5,2,3,'CE'
2,3,3.5,1.5,1,5,'CE'
3.667,4,3.5,5,5,4,'BECM'
1.333,4,4.5,4,2,3,'ECE'
3.667,5,4.5,4,2,3,'EEE'
2,4.75,4,2.5,5,5,'BECM'
3.667,4.25,3,2,5,3,'CE'
3,4.25,5,5,5,4,'EEE'
3,4.5,5,2,3,4,'ME'
3.667,4.25,3.5,2.5,2,3,'EEE'
3,3.75,4.5,3,4,3,'CE'
2.667,2.75,3,3.5,2,2,'CE'
2,5,4.5,4,5,3,'ECE'
4.333,4.25,5,5,5,2,'ME'
1,3.75,5,2,5,4,'BECM'
3.667,5,3,1.5,5,3,'ME'
2.667,3.75,3,1.5,3,2,'CE'
1.667,4.75,4.5,3.5,4,4,'ME'
1,4,4.5,5,1,4,'BECM'
3.667,4.75,4,3.5,5,3,'CE'
3,3.75,4,3,4,4,'EEE'
3.333,5,4.5,3,5,4,'BECM'
3.667,4.75,4,5,3,4,'BECM'
2,3.5,3,2.5,1,2,'EEE'
3.333,4.75,4.5,3.5,5,5,'EEE'
4.333,1.75,2.5,2.5,1,4,'ME'
4,4.25,4.5,3.5,1,3,'BECM'
5,3,4.5,2,5,5,'ECE'
3,4.5,5,3,5,5,'CE'
3,4.25,4,2.5,3,4,'ME'
3,3.75,3,3.5,2,3,'EEE'
4,5,4.5,2.5,4,4,'ARCH'
4.667,4.25,4.5,2.5,3,5,'EEE'
3,3.5,3.5,3,5,2,'CSE'
3.333,4,5,2.5,4,5,'EEE'
2.667,4.5,4.5,4,3,4,'CE'
3,4.75,4,5,5,3,'EEE'
2.667,3.75,5,4,4,5,'ME'
2,3.25,3.5,2,3,2,'BECM'
4,5,4.5,3,4,4,'ECE'
4,5,4,2.5,3,4,'ME'
2,4.5,4.5,3.5,2,3,'ME'
1.667,4,3.5,3,3,4,'BECM'
3.667,4.25,5,3.5,2,3,'ME'
2,2,3.5,1.5,1,5,'ECE'
3.667,5,4,5,5,3,'ARCH'
4,4.25,5,4.5,5,5,'CE'
4.333,4.25,3,1.5,1,3,'CE'
3.333,4,4,2.5,4,4,'BECM'
4.667,2.75,4,2,1,4,'EEE'
4,3.75,4.5,2.5,2,4,'ECE'
4.333,5,3.5,2,2,3,'EEE'
2.667,3.75,2.5,4.5,1,4,'BECM'
3,4.75,3.5,3.5,3,3,'EEE'
4.333,3.75,4.5,3,3,5,'CE'
4.333,3.75,4.5,3,2,3,'ME'
3,4,5,4.5,5,3,'EEE'
4.333,4.25,4,4,3,5,'ECE'
3,5,4,4.5,5,5,'ARCH'
3.333,3,4.5,3,2,4,'CE'
4.667,3.5,4,5,4,2,'BECM'
4.333,4.25,4.5,4,1,1,'ME'
4,2.75,4,4.5,4,4,'CE'
1.333,3.25,4,5,5,5,'CE'
3,3.5,2.5,2.5,2,4,'CE'
1.667,3.75,3,4.5,2,4,'BECM'
5,2.75,4.5,4,3,4,'BECM'
3.667,4,2.5,3.5,1,2,'ECE'
2.667,4.75,2.5,2,1,3,'ME'
3.667,4.75,5,4.5,1,4,'ECE'
4,2.25,4.5,3.5,2,4,'ECE'
4.333,4.5,3,3,1,4,'ECE'
4.667,4.75,4.5,1.5,2,5,'ME'
4,4.5,4,2.5,5,3,'EEE'
5,3.75,4,3.5,2,4,'EEE'
4.667,4.5,4.5,2.5,4,3,'BECM'
3.333,3.5,5,4.5,2,3,'BECM'
4.667,5,4,3.5,3,3,'ARCH'
5,4.25,3.5,3.5,4,3,'ARCH'
5,4,4.5,5,3,2,'TE'
4.667,4.5,5,2.5,3,4,'EEE'
5,4.75,4.5,5,5,3,'EEE'
5,1.25,5,2.5,5,4,'EEE'
2.333,3.5,3.5,1.5,3,4,'EEE'
3.333,4,4,2,2,4,'EEE'
5,5,5,3,5,3,'EEE'
3.667,4.5,4,4,5,5,'EEE'
2,3.75,4.5,3,4,2,'TE'
1.667,3.5,4,4.5,5,5,'EEE'
